,House Name,House Letter,Sample Number,Sample Date,Sample Time,Copper Result,Iron Result,Lead Result,Chloride Result
313,83,v,S13v,2016-02-05,13:13,14.2,125.0,2.21,9380.0
314,83,v,S14v,2016-02-05,13:13,13.1,128.0,2.18,9380.0
315,84,bb,DS03bb,2016-02-12,09:35,5.98,258.0,0.5,9340.0
316,84,bb,S01bb,2016-02-12,09:23,221.0,183.0,2.04,9340.0
317,84,bb,S02bb,2016-02-12,09:23,308.0,149.0,1.97,9340.0
318,84,bb,S03bb,2016-02-12,09:23,1120.0,3380.0,110.0,9340.0
319,84,bb,S04bb,2016-02-12,09:23,961.0,3260.0,77.4,9340.0
320,84,bb,S05bb,2016-02-12,09:23,415.0,1400.0,29.6,9340.0
321,84,bb,S06bb,2016-02-12,09:23,246.0,839.0,16.4,9340.0
322,84,bb,S07bb,2016-02-12,09:23,163.0,627.0,15.7,9340.0
323,84,bb,S08bb,2016-02-12,09:23,139.0,517.0,9.12,9340.0
324,84,bb,S09bb,2016-02-12,09:23,181.0,499.0,8.54,9340.0
325,84,bb,S10bb,2016-02-12,09:23,117.0,392.0,6.81,9340.0
326,84,bb,S11bb,2016-02-12,09:23,83.5,345.0,5.4,9340.0
327,84,bb,S12bb,2016-02-12,09:23,73.4,450.0,5.71,9340.0
328,84,bb,S13bb,2016-02-12,09:23,69.1,428.0,7.2,9340.0
329,84,bb,S14bb,2016-02-12,09:23,69.7,426.0,4.56,9340.0
330,86,h,DS03h,2016-02-01,09:42,8.02,214.0,0.5,9500.0
331,86,h,S01h,2016-02-01,09:23,88.6,80.0,0.725,9500.0
332,86,h,S02h,2016-02-01,09:23,82.4,80.0,2.77,9500.0
333,86,h,S03h,2016-02-01,09:23,91.2,89.5,2.97,9500.0
334,86,h,S04h,2016-02-01,09:23,62.1,80.7,1.63,9500.0
335,86,h,S05h,2016-02-01,09:23,35.8,80.0,1.3,9500.0
336,86,h,S06h,2016-02-01,09:23,26.8,80.0,0.907,9500.0
337,86,h,S07h,2016-02-01,09:23,24.1,80.0,0.76,9500.0
338,86,h,S08h,2016-02-01,09:23,23.2,80.0,0.713,9500.0
339,86,h,S09h,2016-02-01,09:23,22.9,80.0,0.717,9500.0
340,86,h,S10h,2016-02-01,09:23,18.3,80.0,0.601,9500.0
341,86,h,S11h,2016-02-01,09:23,16.0,80.0,0.563,9500.0
342,86,h,S12h,2016-02-01,09:23,12.4,159.0,0.558,9500.0
343,86,h,S13h,2016-02-01,09:23,10.3,194.0,0.535,9500.0
344,86,h,S14h,2016-02-01,09:23,10.4,181.0,0.641,9500.0
345,88,ct,DS03ct,2016-02-20,07:20,1.0,80.0,0.581,9490.0
346,88,ct,S01ct,2016-02-20,07:14,40.1,80.0,2.09,9490.0
347,88,ct,S02ct,2016-02-20,07:14,3.62,119.0,2.21,9490.0
348,88,ct,S03ct,2016-02-20,07:14,10.6,146.0,9.95,9490.0
349,88,ct,S04ct,2016-02-20,07:14,6.86,268.0,20.3,9490.0
